mean,median,min,max,variance
-0.100529246032238,-0.09968601167201996,-0.3045802712440491,0.06709187477827072,0.002562054665759206
0.03426121547818184,0.034215644001960754,-0.146378293633461,0.22031794488430023,0.002755720168352127
0.004272926598787308,0.0036635694559663534,-0.20087593793869019,0.19915062189102173,0.0027539946604520082
-0.019295919686555862,-0.022077515721321106,-0.20542514324188232,0.22431980073451996,0.0030392275657504797
0.07626940310001373,0.08024542033672333,-0.1476816087961197,0.2849297523498535,0.0038843073416501284
-0.05781101435422897,-0.060695722699165344,-0.2242923378944397,0.11581657826900482,0.0029722582548856735
0.03748086839914322,0.03800031542778015,-0.2517560124397278,0.2500408887863159,0.004463104531168938
0.029092375189065933,0.027688946574926376,-0.14199227094650269,0.1737494319677353,0.002663934137672186
0.054385535418987274,0.054967381060123444,-0.19165992736816406,0.21990549564361572,0.003151184879243374
0.03264095261693001,0.03064362332224846,-0.12475308030843735,0.21826748549938202,0.0027376015204936266
0.06763209402561188,0.07356593012809753,-0.1505281925201416,0.2242133915424347,0.003123183036223054
-0.0039316825568675995,-0.0038227830082178116,-0.21303823590278625,0.20114323496818542,0.0032661310397088528
0.034230899065732956,0.02901397831737995,-0.15519987046718597,0.2846142649650574,0.0028472566045820713
-0.03374301269650459,-0.0338122695684433,-0.2267765998840332,0.13446693122386932,0.0022214700002223253
-0.04858466610312462,-0.05386272072792053,-0.19174906611442566,0.129684716463089,0.0024732842575758696
0.023430626839399338,0.02268192358314991,-0.14935092628002167,0.20609043538570404,0.0023542442359030247
-0.07543922960758209,-0.08237685263156891,-0.2662723958492279,0.145197793841362,0.004540960770100355
-0.07101995497941971,-0.07028423249721527,-0.2653272747993469,0.15856608748435974,0.004558132495731115
-0.0989261269569397,-0.09710533171892166,-0.2822638750076294,0.07295910269021988,0.003061417257413268
0.05983904376626015,0.057451821863651276,-0.16363407671451569,0.25080645084381104,0.0034344615414738655
-0.028976300731301308,-0.029734017327427864,-0.2164042890071869,0.1465301215648651,0.003764613764360547
-0.03032073564827442,-0.02778647467494011,-0.24276766180992126,0.16750824451446533,0.002643497195094824
